w [t],x1,x2,x3,x4,x5
31.72271177,-0.34,1.388,0.708,-1.948,-1.356
31.81458478,-0.972,1.084,0.364,-0.228,1.044
31.84115069,-0.348,-1.388,0.716,0.276,-0.172
32.1388587,-0.676,0.028,0.532,0.556,1.46
32.15477359,-1.948,1.58,1.06,1.372,1.188
32.16200815,-0.932,0.772,0.42,0.108,-0.012
32.31722508,-1.924,0.172,0.996,-0.588,1.372
32.48426217,0.108,-1.484,1.116,1.124,-1.652
32.62569102,0.044,-0.244,1.076,-1.084,1.404
32.64776803,0.452,-1.652,1.676,-0.196,1.036
32.76058755,0.492,-0.684,1.86,-0.732,0.748
32.87336526,-0.516,0.076,0.724,-1.18,-1.852
33.35537841,-0.212,-0.124,0.956,-1.228,1.02
33.49738928,-1.02,0.212,0.572,0.308,1.78
33.51297657,-1.532,0.844,0.628,0.892,-0.204
33.56901019,-0.996,-1.324,0.588,0.964,-0.756
33.61969585,0.404,-0.268,1.812,-1.004,-0.884
33.62386798,-1.828,-0.644,0.916,-1.9,0.772
34.06401967,-0.7,1.932,0.756,0.844,0.076
34.308279,0.3,0.972,1.644,-1.388,1.788
34.3575887,-0.692,-0.948,0.788,0.564,0.348
34.35924448,-1.3,0.412,0.66,-1.524,1.716
34.52844206,-1.212,0.692,0.676,1.204,0.572
34.55565856,-0.588,1.1,0.852,-0.892,-0.66
34.72193088,-0.276,-1.788,1.036,0.228,-0.868
34.80631179,0.236,-0.7,1.564,0.14,1.844
34.93139849,-1.404,-1.956,0.74,0.324,-1.844
34.9887171,0.212,0.148,1.54,-0.804,1.436
35.06470096,-0.828,0.396,0.804,0.572,-0.772
35.136772,-0.732,1.284,0.844,-1.204,-0.276
35.29943429,-0.612,-0.06,0.908,0.58,-0.716
35.39485079,-1.052,1.324,0.78,-1.124,-0.668
35.47972107,-1.5,-0.18,0.82,-1.94,-1.38
35.48735443,-0.156,1.612,1.18,-1.292,1.204
35.85145156,-0.876,-0.452,0.86,1.692,-1.708
36.17377281,0.228,-1.868,1.932,1.212,1.228
36.69214754,0.012,-0.476,1.468,-0.356,1.74
36.72558148,-1.756,-0.836,1.092,0.484,0.812
36.79610506,-1.468,-1.084,0.924,-0.46,0.74
36.91472324,0.028,0.06,1.556,1.82,-0.028
37.04234064,-0.868,-0.532,0.964,0.732,-1.148
37.30041522,0.052,1.996,1.772,1.764,-1.724
37.43427225,-0.228,-1.692,1.3,-1.164,0.94
37.58176179,-1.644,-1.06,1.068,1.708,1.58
37.60021917,-0.428,1.716,1.188,-0.58,1.94
37.61125572,-0.332,-1.204,1.244,-0.668,-0.98
37.72629165,-1.38,0.572,0.98,-1.1,1.348
37.86358625,-0.94,1.276,1.012,-0.164,1.356
37.88816517,-1.092,1.548,0.988,1.524,0.204
38.2596089,-0.252,-1.052,1.364,-0.148,-1.94
38.2900816,-1.908,1.404,1.684,-0.404,-0.132
38.36641177,-0.116,-0.812,1.588,-1.884,-0.86
38.59816079,-0.068,0.548,1.804,-1.036,1.516
38.65124264,-0.084,-0.212,1.78,0.444,-1.924
38.72169806,-0.78,1.22,1.124,0.132,-0.34
38.73083563,-0.268,0.348,1.404,-0.996,0.484
38.75014606,-0.18,1.62,1.532,0.316,-1.98
38.98852233,-0.724,-0.596,1.164,1.916,0.78
39.14364672,-1.108,1.3,1.084,-1.532,0.82
39.31564132,-1.028,0.012,1.108,-1.964,-1.812
39.32015824,-0.412,1.972,1.348,1.884,-0.748
39.41160762,-0.22,-1.972,1.636,0.836,1.028
39.41594524,-0.292,1.06,1.476,-1.332,-0.932
39.41701692,-0.684,0.292,1.212,-0.836,-1.484
39.69251702,-1.636,0.308,1.228,-1.644,-0.956
39.83932435,-0.668,0.564,1.252,-1.14,-1.692
39.92960801,-1.804,-0.876,1.46,1.468,-0.564
40.03867602,-1.788,1.212,1.436,-1.596,-0.084
40.06526855,-0.364,1.676,1.492,-0.876,-0.404
40.38732576,-0.884,1.844,1.22,0.396,0.972
40.8491359,-1.78,0.74,1.572,-1.5,1.18
40.96589304,-0.316,1.268,1.844,0.076,0.868
41.34885052,-1.772,-1.524,1.7,-0.42,-0.628
41.35655973,-0.524,0.044,1.524,-1.98,-0.228
41.45615144,-1.708,0.38,1.484,-1.012,-0.196
41.58413894,-1.748,-1.828,1.66,-0.948,0.716
41.70578035,-1.364,-0.356,1.284,-1.972,-0.652
41.7786274,-0.98,-0.068,1.308,0.188,0.276
41.87385088,-0.796,1.524,1.38,1.676,-1.412
42.17027879,-0.444,0.428,1.884,-0.244,-0.292
42.3026174,-1.18,-0.924,1.324,-0.316,-0.452
42.45583113,-0.716,0.956,1.516,-1.252,-0.924
42.51167998,-1.068,0.628,1.356,1.66,-1.756
42.68813854,-0.652,-0.788,1.692,-1.028,1.444
42.82229848,-0.508,0.828,1.916,-1.3,1.236
43.06086884,-0.788,-1.34,1.58,0.196,0.916
